movieid,title,audienceScore,rating,ratingContents,releaseDateTheaters,releaseDateStreaming,runtimeMinutes,genre,originalLanguage,director,boxOffice,distributor,soundType
captain_jack_sparrow_mythical_sherlock_holmes_jon_snow,Captain Jack Sparrow Mythical Sherlock Holmes Jon Snow,,,,,2020-07-26,100.0,Documentary,Swedish,Antoinette Singer,,,
anakin_skywalker_treasure_whisper,Anakin Skywalker Treasure Whisper,82.0,,,,2006-03-07,128.0,Biography,Japanese,Bonnie Moore,,,
terminator_bruce_wayne_travis_bickle_tony_montana,Terminator Bruce Wayne Travis Bickle Tony Montana,,,,,,,,,Augusta Daniel,,,
enigma_captain_jack_sparrow_dragon_wolverine,Enigma Captain Jack Sparrow Dragon Wolverine,,,,,,14.0,"Romance, Drama",Spanish,Arnold Calkins,,,
whimsical_sherlock_holmes_tyler_durden_sorcerer,Whimsical Sherlock Holmes Tyler Durden Sorcerer,56.0,,,2017-05-12,2018-11-17,82.0,Drama,Dutch,Rebbecca Guild,,Ryan Bruce Levey Film Distribution and PR Services,
katniss_everdeen_frodo_baggins_valley_forrest_gump,Katniss Everdeen Frodo Baggins Valley Forrest Gump,62.0,TVPG,"['V', 'L']",,2011-04-13,104.0,War,English,Mary Herrera,,,Stereo
eclipse_brave_jack_torrance_vito_corleone,Eclipse Brave Jack Torrance Vito Corleone,,,,,,85.0,"Romance, Mystery & thriller",Dutch,Kathy Collins,,,
anakin_skywalker_kingdom_rick_blaine,Anakin Skywalker Kingdom Rick Blaine,88.0,,,2022-06-03,2022-06-10,109.0,"Comedy, Drama",English,Karen Berg,,Quiver Distribution,
hannibal_lecter_vivid_wonder,Hannibal Lecter Vivid Wonder,69.0,R,"['Some Violence', 'Language']",2015-05-01,2015-08-18,114.0,"Comedy, Adventure",Swedish,Trinity Hollis,$923.9K,Music Box Films,
destiny_enchanted_gandalf_katniss_everdeen,Destiny Enchanted Gandalf Katniss Everdeen,,,,,2020-11-27,97.0,"Romance, Comedy",Spanish,Orville Garstka,,,
captain_jack_sparrow_han_solo_don_vito_corleone,Captain Jack Sparrow Han Solo Don Vito Corleone,,,,,,100.0,Musical,English,Jose Barnes,,,
astonish_kingdom_whisper,Astonish Kingdom Whisper,52.0,,,1993-07-07,2002-01-29,103.0,"Kids & family, Comedy",English,James Simpson,$53.1M,20th Century Fox,
emerald_dream_tony_stark_vito_corleone,Emerald Dream Tony Stark Vito Corleone,,,,,2018-04-10,110.0,Drama,English,Minnie Gonzalez,,,
adventure_galaxy_celestial_tony_montana,Adventure Galaxy Celestial Tony Montana,76.0,R,"['Some Teen Partying', 'Sexual Content/Nudity', 'Bloody Violence']",2012-03-09,2012-05-08,98.0,"Horror, Mystery & thriller",English,Richard Rogers,$252,Magnolia Pictures,
bruce_wayne_the_joker_wolverine_legendary,Bruce Wayne The Joker Wolverine Legendary,,,,,2018-05-02,68.0,Documentary,Italian,Debra Kim,,,
enthralling_courageous_han_solo_stardust,Enthralling Courageous Han Solo Stardust,39.0,,,2001-05-13,2002-01-22,105.0,"Adventure, Drama",English,Laverne Conly,,Miramax Films,Surround
katniss_everdeen_v_incredible,Katniss Everdeen V Incredible,55.0,,,,2019-11-19,120.0,"Holiday, Drama",English,Melanie Hull,,,
mystery_wonder_woman_enigma_neo,Mystery Wonder Woman Enigma Neo,6.0,R,"['Horror Violence', 'Some Sexual Content/Nudity', 'Pervasive Language']",,2012-06-26,79.0,"Sci-fi, Horror",English,Marcia Gary,,,
wondrous_glimmer_morpheus_rick_blaine,Wondrous Glimmer Morpheus Rick Blaine,83.0,,,,,150.0,"Holiday, History, Drama",English,Anthony Denis,,,
forrest_gump_wonder_aurora_crown,Forrest Gump Wonder Aurora Crown,,,,,,74.0,Adventure,English,Justin Tilman,,,
darth_vader_dracula_james_bond_gandalf,Darth Vader Dracula James Bond Gandalf,71.0,,,,2019-03-26,88.0,Mystery & thriller,English,Johnny Thompson,,,
hannibal_lecter_riddle_hannibal_lecter,Hannibal Lecter Riddle Hannibal Lecter,,,,,2019-03-06,147.0,Action,Kannada,Mike Spano,,,
james_bond_hannibal_lecter,James Bond Hannibal Lecter,,,,,,93.0,Comedy,English,Scott Rivera,,,
hannibal_lecter_vito_corleone_gandalf_willy_wonka,Hannibal Lecter Vito Corleone Gandalf Willy Wonka,,,,,,80.0,Documentary,English,William Mitchell,,,
magician_riddle_valley_black_widow,Magician Riddle Valley Black Widow,37.0,,,1970-12-15,2012-11-13,95.0,Comedy,English,Erica White,,Columbia Pictures,
stardust_the_terminator,Stardust The Terminator,,,,,,85.0,Western,English,Joseph Brooks,,,
enthralling_jack_torrance_hannibal_lecter_ethereal,Enthralling Jack Torrance Hannibal Lecter Ethereal,75.0,,,,,60.0,"Kids & family, Comedy, Adventure, Animation",English,Anthony Saylors,,,Dolby Digital
han_solo_miracle_myriad_fantastic,Han Solo Miracle Myriad Fantastic,32.0,,,,,78.0,"Mystery & thriller, Horror",English,Bonnie Sloan,,,
dracula_travis_bickle_astonish,Dracula Travis Bickle Astonish,79.0,,,,,86.0,Documentary,Arabic,James Schwartz,,,
spectacular_sherlock_holmes_mystic,Spectacular Sherlock Holmes Mystic,,,,,,89.0,Documentary,Spanish (Spain),Alejandra Newman,,,
ferris_bueller_rocky_balboa_tony_stark,Ferris Bueller Rocky Balboa Tony Stark,,,,,,91.0,Action,English,Monica Wascher,,,Stereo
travis_bickle_celestial_galaxy_journey,Travis Bickle Celestial Galaxy Journey,20.0,,,,,95.0,Sci-fi,English,Natalia Harris,,,
ethereal_holly_golightly_terminator_black_widow,Ethereal Holly Golightly Terminator Black Widow,42.0,,,,,,,,Augusta Daniel,,,
jack_sparrow_phenomenal_courageous,Jack Sparrow Phenomenal Courageous,60.0,,,2019-04-10,2019-04-19,133.0,"Comedy, Adventure",English,Eugene Cornelius,$392.0K,Screen Media Films,"SDDS, Dolby Digital"
norman_bates_v_quench,Norman Bates V Quench,,,,,,135.0,Action,Tamil,Allen Miller,,,
hiccup_infinite_hidden_captain_america,Hiccup Infinite Hidden Captain America,80.0,,,2017-07-14,2017-11-19,128.0,Biography,Spanish,Daniel Delacruz,$64.0K,ABKCO Films Inc.,
scarlett_o'hara_ellen_ripley_infinite,Scarlett O'Hara Ellen Ripley Infinite,,TV14,['D'],,2004-10-26,100.0,Drama,English,Henry Uppencamp,,,
the_joker_captain_america_lost,The Joker Captain America Lost,,,,,,90.0,Documentary,English,Darren Sanders,,,
rocky_balboa_superman_harmony_ellis_redding,Rocky Balboa Superman Harmony Ellis Redding,,,,1960-11-25,,76.0,Drama,English,Lawrence Denk,,,
velvet_jack_sparrow_john_wick,Velvet Jack Sparrow John Wick,,,,,,86.0,Drama,English,Richard Rivera,,,
myth_harry_potter_gollum,Myth Harry Potter Gollum,94.0,,,,,,,,Leigh Furst,,,
mystic_travis_bickle_wolverine_han_solo,Mystic Travis Bickle Wolverine Han Solo,,,,,,92.0,Drama,English,Leona Lange,,,
wolverine_tony_montana_infinite,Wolverine Tony Montana Infinite,,,,,,89.0,"Comedy, Drama, Fantasy",English,Donna Stoll,,,
tony_stark_darth_vader_forrest_gump,Tony Stark Darth Vader Forrest Gump,8.0,,,,2017-04-04,88.0,Horror,Spanish,Larry Pickett,,,
ellen_ripley_wonder_woman_enthralling,Ellen Ripley Wonder Woman Enthralling,88.0,,,2014-12-05,2016-08-10,103.0,"Drama, Action",Japanese,Anton Pierce,,Eleven Arts,
epic_epic_katniss_everdeen_luke_skywalker,Epic Epic Katniss Everdeen Luke Skywalker,,,,,,125.0,Mystery & thriller,Telugu,James Holt,,,
escape_luke_skywalker_vito_corleone,Escape Luke Skywalker Vito Corleone,60.0,R,"['Language', 'Strong Violence', 'Sexual Content']",2004-06-18,2005-01-18,100.0,Mystery & thriller,English,Stefan Tupper,,First Look,"Surround, Dolby Digital"
wolverine_michael_corleone_hannibal_lecter_myriad,Wolverine Michael Corleone Hannibal Lecter Myriad,40.0,PG-13,"['Extended Sequences of Violence', 'Action', 'Some Suggestive References']",2018-11-21,2019-02-19,118.0,"Action, Adventure",English,Kathleen Robertson,$30.8M,Lionsgate Films,Dolby Atmos
katniss_everdeen_whimsical_wonder,Katniss Everdeen Whimsical Wonder,,,,,,,,,Augusta Daniel,,,
fortune_edward_scissorhands_ellen_ripley,Fortune Edward Scissorhands Ellen Ripley,82.0,,,,2015-06-05,130.0,Drama,Korean,Hugo Schilk,,,Surround
forrest_gump_katniss_everdeen_sorcerer_james_bond,Forrest Gump Katniss Everdeen Sorcerer James Bond,,,,,2015-12-01,90.0,"Crime, Drama, Mystery & thriller",English,Mary Moultrie,,,
valley_bruce_wayne_sorcerer,Valley Bruce Wayne Sorcerer,,,,,,84.0,Mystery & thriller,English,Ashley Maddox,,,Stereo
dragon_captain_jack_sparrow_oracle,Dragon Captain Jack Sparrow Oracle,25.0,PG,"['Violence', 'Language', 'Brief Crude Humor']",1998-04-10,1998-09-29,103.0,"Comedy, Drama",English,Catherine Rudd,$8.0M,Columbia Pictures,"SDDS, Dolby SR, Dolby Digital, Surround, Dolby A, Dolby Stereo"
bruce_wayne_infinite_e.t._james_t._kirk,Bruce Wayne Infinite E.T. James T. Kirk,51.0,R,"['Nudity', 'Language', 'Brief Drug Use', 'Strong Sexual Content']",2014-10-10,2015-02-10,105.0,"Drama, Mystery & thriller",English,Tony Connor,$17.4M,"Code Black, Lionsgate Films",
superman_john_wick,Superman John Wick,83.0,,,,,90.0,Documentary,Russian,Vanessa Marshall,,,
lost_neo_james_t._kirk_wolverine,Lost Neo James T. Kirk Wolverine,,,,,2021-05-04,88.0,"Fantasy, Horror, Mystery & thriller",English,Charles Carter,,,
crimson_starlight_harry_potter_gandalf,Crimson Starlight Harry Potter Gandalf,,,,1941-11-14,2009-02-24,66.0,Drama,English,Christine Sizemore,,Producers Releasing Corporation,
zephyr_galaxy_gandalf_han_solo,Zephyr Galaxy Gandalf Han Solo,60.0,,,,2019-12-31,85.0,Romance,English,Ethel Hill,,,
rick_blaine_myriad_crimson,Rick Blaine Myriad Crimson,,,,,2017-04-21,137.0,Mystery & thriller,English,Joseph Brooks,,,
harry_potter_vito_corleone_island,Harry Potter Vito Corleone Island,,,,,,90.0,"Kids & family, Adventure",German,Gary Atkins,,,
harmony_jack_torrance_velvet_stardust,Harmony Jack Torrance Velvet Stardust,,,,,2020-06-14,99.0,"Drama, Romance",Indonesian,Antonia Trinkle,,,
indiana_jones_anakin_skywalker_superman_katniss_everdeen,Indiana Jones Anakin Skywalker Superman Katniss Everdeen,,,,,,66.0,Drama,English,Hubert Hess,,,
frodo_baggins_superman_incredible_myth,Frodo Baggins Superman Incredible Myth,,,,,2017-05-22,83.0,Documentary,English,Clinton Serrano,,,
majestic_kingdom_courageous,Majestic Kingdom Courageous,52.0,PG,['Rude and Suggestive Material'],,2020-06-08,91.0,"Kids & family, Comedy, Fantasy",English,Micheal Person,,,
myth_courageous_island,Myth Courageous Island,,,,,,95.0,Comedy,English,Felipe Holland,,,
witch_marvelous_fantasy,Witch Marvelous Fantasy,52.0,,,1986-01-17,,72.0,"Kids & family, Comedy, Animation",English,Steven Marsh,,,
golden_dream_hannibal_lecter_james_bond,Golden Dream Hannibal Lecter James Bond,43.0,,,,,14.0,"Fantasy, Horror, Mystery & thriller",English,Jerry Shields,,,
celestial_willy_wonka_james_bond,Celestial Willy Wonka James Bond,,,,,,64.0,Documentary,Portuguese (Brazil),Charles Hargis,,,
labyrinth_infinite_forrest_gump,Labyrinth Infinite Forrest Gump,47.0,PG-13,"['Language', 'Crude and Sexual Content', 'Thematic Elements']",2012-05-18,2012-09-11,110.0,"Comedy, Drama, Romance",English,Wade Zachery,$41.1M,Lionsgate Films,
tony_stark_gandalf_michael_corleone,Tony Stark Gandalf Michael Corleone,,,,,2016-04-26,94.0,Horror,,Robert Brickey,,,
luke_skywalker_annie_hall_moonlit_magic,Luke Skywalker Annie Hall Moonlit Magic,,,,,,,,,John Patterson,,,
wondrous_wanderer_witch_princess_leia,Wondrous Wanderer Witch Princess Leia,,,,,,96.0,"Comedy, Drama",English,Jack Whatley,,,
the_rick_blaine_rocky_balboa,The Rick Blaine Rocky Balboa,52.0,R,"['Language Throughout', 'Horror Violence', 'Brief Drug Use', 'Some Sexuality/Nudity']",2016-01-22,2016-04-26,94.0,Horror,English,Karen Wapp,,Epic Pictures,
harmony_fantasy,Harmony Fantasy,,,,,2020-01-26,101.0,Drama,English,Sarah Pena,,,
wonder_princess_leia_iron_man_enigma,Wonder Princess Leia Iron Man Enigma,13.0,,,,2012-03-20,91.0,Mystery & thriller,English,Vanda Oconnor,,,
astonish_james_bond_luke_skywalker,Astonish James Bond Luke Skywalker,33.0,,,,,107.0,Comedy,Chinese,Sadie Potts,,,
